Date,Observation,Location,Relative Size,Description Size,Depth,Aspect,Elevation,Slope,Notes
4/8/24,Buckingham,Lat: 43.789001 Lng: -110.792000,1,1,10,E,10500,40,
4/8/24,North East Ridge Mt Moran,Lat: 43.841000 Lng: -110.760101,3,2.5,0,NE,11000,,SS-R2.5-D3-N
4/1/24,No-Name Peak,Lat: 43.610001 Lng: -110.853996,1,2,0,S,10400,,
4/1/24,N Couloirs into Death Canyon,Lat: 43.660801 Lng: -110.836304,3,2,10,N,8800,40,D2 windslab triggered while on rappel around 8800’’. We also triggered multiple D1/1.5 in upper elevation N terrain. Slabs were becoming more cohesive throughout the day F-4F. Consistent moderate winds with frequent strong gusts from northerly winds with moderate/intense transport most of the day.
4/1/24,South and east facing terrain in Avalanche Canyon,Lat: 43.703999 Lng: -110.790001,,2,0,S,10000,,Multiple avalanches failed on steep south through east slopes with solar input. D1-D2. These slides all appeared to be failing in the recent snow and were probably mostly wet loose (maybe some storm slab) sliding on crusts that formed 3/21 or 3/32.
3/31/24,Red Sentinel,Lat: 43.734798 Lng: -110.792999,1,1,6,N,10600,,"While skiing down the apron of the Red Sentinel, trigged a storm slab ~3-6” deep. We had some localized cracking at the saddle entering the line but nothing propagating far. Sluff was sluggish but moving."
3/31/24,Mouth of Garnet Canyon,Lat: 43.734901 Lng: -110.791901,1,1,0,E,7700,,
3/30/24,Mayan apacolypse,Lat: 43.656799 Lng: -110.836304,2,1,8,N,9800,,multiple small wind slabs with one larger one triggered on ski cut.
3/27/24,Teewinot se shoulder,Lat: 43.740398 Lng: -110.768303,2,2.5,18,E,11000,,Dry loose ran from rocks on S ridge and stepped down to old snow on the SE shoulder producing a large avalanche that ran 2000+ feet. Crown seemed to be 1-2 feet and about 150-200 feet across.
3/25/24,"N Chute 10,333'",Lat: 43.940899 Lng: -110.731201,2,2,20,NE,9800,40,Got more than I bargained out of a ski cut. D2-HS-ASc. Ran nearly to valley floor.
3/24/24,Spooky Face / E Hourglass,Lat: 43.720402 Lng: -110.794601,4,2,0,N,11100,,"We weren’t able to see the start zone, only what fed into the couloir. The vertical fall of the slide path from where we first saw it was estimated 900’ (11,000’-10,100’). The full path was likely much longer with start zone being somewhere above us."
3/2/24,"Mt Hunt, west bowl",Lat: 43.627899 Lng: -110.865898,2,2,0,SE,10000,,
2/27/24,Turkey Chute,Lat: 43.692902 Lng: -110.792000,1,1,0,N,9900,50,"Small avalanche at the very top of Turkey Chute. About 20' wide, 2"" deep. It was pretty windy, I'm guessing the 2"" is all that stuck from the recent storm. Slid on a weak crust underneath. Prone to sliding again with more snow"
2/24/24,Cody Peak: No Shadows,Lat: 43.588100 Lng: -110.889198,1,1,8,E,10600,45,
2/23/24,Moon Walk Couloir,Lat: 43.689800 Lng: -110.795700,1,1,3,NE,9900,40,"3rd skier down couloir triggered a small wind slab pocket on the skier's left side, which was visibly wind loaded. Small but enough to take me off my feet and carry me a short ways (50 feet?) down the couloir before arresting."
2/23/24,Jackson Peak,Lat: 43.723999 Lng: -110.808998,2,2.5,0,N,10600,,
2/19/24,Banana couloir,Lat: 43.650600 Lng: -110.841202,,2.5,0,E,10800,,
2/19/24,Entrance of Whimpy’s NE Couloir,Lat: 43.671700 Lng: -110.805397,1,1,0,NE,9800,,
2/19/24,SE Face of the Grand,Lat: 43.741001 Lng: -110.802399,,3,0,SE,13000,45,"Witnessed a very large slide on the SE face of the Grand while driving into the park, just before the turnoff to employee housing. Saw what I first thought was just a lingering cloud on the grand but then saw the slide actually coming down the slide path down Teepee glacier and behind Disappointment. Avalanche occurred at exactly 12:45 pm. Most likely a natural trigger after it warmed up some this morning."
2/17/24,Bradley Faces,Lat: 43.715900 Lng: -110.764099,1,1,0,E,7300,34,"Skier triggered D1 avalanche on Bradley Faces, above Bradley Lake at ~7300’. Was not surprised to have this pocket release, as it initiated on a turn above a convexity and known cliff band. 8-10” crown on new snow / old snow interface, 25-30’ wide."
2/16/24,Mavs,Lat: 43.673698 Lng: -110.782997,1,1.5,0,E,7800,33,"On our first lap, we traversed the lower portion of the southeast ridge attempting to find our skin track from the am. We dropped around a blind corner and two in our party loaded a slope with a convexity. Roughly 30-35 deg. The weight of the second triggered a collapse, and a soft storm slab released. Crown was ~ 2-2.5 ft deep and 200’ wide. The debris ran ~200 ft. Both people were caught and carried but fortunately no burials/ injuries."
2/10/24,Rendezvous Mtn,Lat: 43.602798 Lng: -110.873802,3,2.5,0,N,10000,,avalanche was remotely triggered from mellow terrain near the northwest ridge of rendevous mtn
2/10/24,Endless Couloir,Lat: 43.608398 Lng: -110.841698,1,1,0,NE,9300,,Called in by folks that triggered it. Looked like the debris covered three previous tracks.
2/10/24,Son of Apocolapse,Lat: 43.632599 Lng: -110.836197,2,2.5,24,E,9800,45,"Remote skier triggered D3, R2 Avalanche into Son of Apocalypse (E Aspect). Crown 350-400 feet across and ran 1300+ vertical feet. Failed on 2/2 crust layer. The crust layer was 60 cms down."
2/7/24,"Granite Canyon, AF Couloirs",Lat: 43.610901 Lng: -110.833801,4,2.5,0,N,9000,40,
2/4/24,"25 Short, Below Broken Thumb",Lat: 43.726799 Lng: -110.770699,1,1,0,N,8000,40,
1/31/24,Olive Oyl,Lat: 43.625591 Lng: -110.830704,3,2.5,59,NE,9800,37,Estimated from afar with binoculars. Nearly entire start zone propagated
1/30/24,West Shoulder of Window,Lat: 43.851501 Lng: -110.862999,2,2,0,S,10000,,
1/29/24,Seven Dwarves,Lat: 43.605999 Lng: -110.861099,2,1.5,39,N,9200,,"1 meter crown, hard slab."
1/27/24,Prospectors/Mayan Apocalypse,Lat: 43.659000 Lng: -110.835999,1,1.5,12,E,9700,45,"At the beginning of the couloir, we observed wind loading. We put a skier on belay to ski cut the hypothesized start zone/wind loaded pocket. On the first jump he was able to trigger a wind slab 6 inches to 1 foot deep that ran the length of the couloir. Observation from Jan 27."
1/27/24,Apocalypse,Lat: 43.659000 Lng: -110.835999,1,1,0,NE,9100,,15 ft pocket of hard slab 1/1.5 feet deep
1/23/24,Peak 10075,Lat: 43.957802 Lng: -110.720596,,2,39,S,8550,35,"Short slope that was triggered while crossing under the slope. Wide propagation, One person fully buried. Recovered with no injuries."
1/20/24,Mavericks north bowl,Lat: 43.687901 Lng: -110.789703,,2,0,E,9500,,
1/20/24,25 Short,Lat: 43.790401 Lng: -110.681801,2,2,0,SE,7800,35,"2 Avalanches observed. D2, R2. Both at 7800. 1st on SE, 2nd on NE, both funneled into gully between Japan Trees and Pogo Ridge. (The gully lookers right of Ullr's). 1st looked recent (last 24). 2nd looked older (maybe during the last storm). Both failed most likely on Jan 4 interface. Unknown trigger. (Most likely natural or remote skier trigger)."
1/19/24,Maverick SE Ridge,Lat: 43.678001 Lng: -110.786598,2,1.5,0,SE,8700,,
1/17/24,Ullr's,Lat: 43.693001 Lng: -110.790001,4,3.5,35,E,10000,38,"Start zone elevation: 10,000' Terminus: 8200' with an alpha angle of 17-18 degrees."
1/15/24,Mt Hunt,Lat: 43.596500 Lng: -110.871201,2,2,0,S,10000,,
1/15/24,10696,Lat: 43.688999 Lng: -110.802002,2,2,35,SE,10600,36,
1/14/24,"9400 Feet, Below Surprise Lake",Lat: 43.728001 Lng: -110.773003,2,2,20,NE,9400,,
1/12/24,Static Cirque,Lat: 43.678101 Lng: -110.815399,4,3,59,E,10500,35,Nearly entire cirque from east ridge of Static across to Static Albright Saddle
1/12/24,Mavericks,Lat: 43.681000 Lng: -110.779999,1,1.5,31,E,8000,32,Avalanche was triggered on a small 32° slope that terminated down 50' on low angle terrain and propagated 100' across. Failed on 1/4 weak layer comprised of surface hoar above a 10cm thick layer of 1-2mm weak facets (F hard). Slab above weak layer was F to 4F- hard.
1/12/24,Timberline Lake,Lat: 43.688202 Lng: -110.795601,3,3,0,SE,10800,,
1/12/24,Mount Owen,Lat: 43.832001 Lng: -110.759003,3,2.5,0,E,11000,,
1/11/24,25 Short,Lat: 43.683601 Lng: -110.784698,,2,0,SE,9500,,"D2 Storm slab on the south side of 25 Short, visible from the Mavericks skin track"
1/10/24,Lupine Meadows Trail Switchback Zone,Lat: 43.727001 Lng: -110.769997,1,1.5,12,E,8400,,Remote trigger from 100 meters away
1/9/24,Olive Oyl,Lat: 43.629700 Lng: -110.834602,1,1,14,E,9300,35,
1/4/24,Cardiac Ridge,Lat: 43.596699 Lng: -110.871300,3,2,30,NE,9350,40,
12/4/23,Tetons,Lat: 43.682999 Lng: -110.808998,2,2.5,12,SE,10400,35,
11/28/23,Static/ Buck Divide,Lat: 43.686401 Lng: -110.815498,1,1.5,10,SE,11000,35,
4/30/23,Ford/Stetner,Lat: 43.739300 Lng: -110.803299,0,0,0,S,12900,,
4/6/23,Static's E Rib,Lat: 43.688599 Lng: -110.798103,1,1.5,0,N,11000,70,"Piece of cornice where it came to rest was about 20' wide, estimated from almost a mile away. Its fall caused a R1D1 dry loose on the snow covered pitch below the cliffs."
4/6/23,Upper entrance to chute the moon,Lat: 43.688702 Lng: -110.797501,1,1.5,0,N,10500,,
4/2/23,Shadow N Ridge (skiers left of N Couloir),Lat: 43.716900 Lng: -110.783897,3,2,14,NE,9700,35,"went to stomp on the remaining pocket next to the crown, which then broke and propagated across N couloir and well up the far wall. After skiing down the bed surface on the ridge and down the low angle bowl, looked up and noticed it had sympathetically triggered a few more large crowns lower down."
3/31/23,North couloir,Lat: 43.671902 Lng: -110.805199,0,1,12,N,9800,38,
3/22/23,Mayan,Lat: 43.655800 Lng: -110.834900,1,1.5,18,NE,10300,39,
3/18/23,Banana,Lat: 43.653999 Lng: -110.832001,2,2,16,E,9600,40,
3/16/23,Fabulosity Right,Lat: 43.687698 Lng: -110.796501,2,1.5,998,SE,9700,37,
3/15/23,Upper Granite Canyon,Lat: 43.609100 Lng: -110.853302,1,1.5,14,NE,9000,37,
3/15/23,Wimpy’s Skintrack Ridge,Lat: 43.668499 Lng: -110.799797,2,1.5,24,NE,8832,,Hard wind slab remotely triggered while skinning up. Most likely would have ran all the way to the gully without the trees.
3/14/23,North Ridge of Wimpy’s,Lat: 43.673801 Lng: -110.796303,1,1.5,18,NE,9500,35,
3/10/23,poop chute,"Lat: 43.612801 Lng: -110.831497
",1,0,4,,,,
3/10/23,25 short,Lat: 43.691200 Lng: -110.768204,0,1,12,NE,7750,39,"Was approaching the top of a small test slope, it released when I was still 5-10’ from the rollover. Propagated further than this feature typically does."
3/6/23,S fork avalanche,Lat: 43.697601 Lng: -110.802696,1,1,0,S,9000,,
3/5/23,Pucker face,Lat: 43.589001 Lng: -110.889999,1,1,8,SE,10400,40,"Third hand report. Sun was out and rapid warming. Slope was thought to have been skied am. Skier triggered, caught, carried, not buried or injured."
3/4/23,Snow Devil Couloir,Lat: 43.688099 Lng: -110.795097,2,2,20,SE,9500,37,
3/1/23,Mt Moran,Lat: 43.839001 Lng: -110.758003,2,3,35,NE,10500,40,Second hand report
2/28/23,Skillet Glacier,Lat: 43.836201 Lng: -110.773003,2,2,24,E,11000,40,
2/25/23,11a,Lat: 43.701900 Lng: -110.816902,2,2,24,NE,10300,38,
2/25/23,Bowl just N of Shadow,Lat: 43.721001 Lng: -110.783897,2,1.5,12,E,9500,35,
2/25/23,Skin Track Up Surprise Just Above Valley Floor,Lat: 43.723000 Lng: -110.759903,1,1,16,SE,7577,35,
2/25/23,Nugget,Lat: 43.743698 Lng: -110.836800,2,1.5,16,SE,10935,40,
2/23/23,Shadow,Lat: 43.723301 Lng: -110.761703,2,1.5,24,SE,9000,35,
2/22/23,Aspens,Lat: 43.686298 Lng: -110.766296,2,1.5,16,,,35,
2/20/23,Granite Canyon,Lat: 43.611198 Lng: -110.829102,2,1.5,24,NE,7500,37,Skier was carried but not buried
2/19/23,Ullrs,Lat: 43.690800 Lng: -110.792503,1,1,6,NE,9700,38,"Intentionally set off with a ski cut. It was the new storm/wind slab running on old wind pressed surface (crust like), slide moved quickly."
2/9/23,South Fork Garnet,Lat: 43.725800 Lng: -110.810898,1,1.5,6,S,11400,35,"crown was wind eroded, as it was very windy."
2/9/23,East Face of Middle Teton,Lat: 43.729000 Lng: -110.808998,3,2,12,E,11000,40,
2/3/23,Garnet Canyon,Lat: 43.725399 Lng: -110.777000,2,2,12,S,9000,25,
1/29/23,Static Peak,Lat: 43.671001 Lng: -110.806000,2,1.5,24,SE,10500,35,
1/28/23,25 Short,Lat: 43.696999 Lng: -110.789001,3,2,39,E,9975,39,
1/28/23,Bradley Cliffs,Lat: 43.715801 Lng: -110.765404,1,1.5,0,E,7300,,
1/20/23,Four Hour Couloir,Lat: 43.715698 Lng: -110.784302,2,2,0,S,10000,35,"Occurred between 11am - 2pm. Looked like loose dry that was triggered by sun, although trigger is unknown. Entrained significant snow and ran"
1/16/23,W face of Albright,Lat: 43.670799 Lng: -110.816101,3,2.5,31,W,10200,35,Triggered by first rider on a slightly convex rollover a couple hundred feet below the Albright summit.
1/12/23,Prospector's,Lat: 43.650398 Lng: -110.846802,2,2.5,20,N,11000,,
1/11/23,Whimpys west shoulder,Lat: 43.669998 Lng: -110.813301,1,1,0,W,9900,40,Moderate entrainment. fast running
1/11/23,Static Draw,Lat: 43.669998 Lng: -110.813301,1,1,0,NE,8600,40,
1/11/23,E Facing Hanging Snowfield Nez Perce,Lat: 43.718700 Lng: -110.794800,3,3,35,E,11000,40,All sizes and times are estimates. Viewed from Shadow skiers summit and Nez Perce-Shadow cirque. Crown looked very big at its highest point. Major debris deposited to the typical transition/staging area for the Sliver.
1/8/23,Wister E Face,Lat: 43.701900 Lng: -110.816704,1,1,6,NE,11400,42,
1/8/23,Cave Couloir,Lat: 43.725800 Lng: -110.801399,2,1.5,8,E,10250,36,"Intentional release on a ski cut at the rollover at the top of the couloir. Ran to halfway point where it flattens back out, took most of the snow in the center gully."
1/7/23,West Hourglass Couloir,Lat: 43.721401 Lng: -110.792801,1,1,8,NE,10500,37,
1/4/23,Peaches,Lat: 43.675598 Lng: -110.798897,1,1,12,N,9000,35,
1/2/23,Ullrs,Lat: 43.691399 Lng: -110.791000,2,2,31,SE,9500,35,
12/19/22,Shoot the Sun,Lat: 43.687500 Lng: -110.794899,1,2,,NE,9700,,
4/17/22,Garnet Canyon,Lat: 43.723804 Lng: -110.777992,3,1,12,E,8593,41-45,Test slope. Intentionally triggered two very similar slides below the Platforms in the gut of Garnet.
4/17/22,Fin Couloir,Lat: 43.731251 Lng: -110.779671,3,2,12,NE,9868,41-45,"Belayed, low energy ski cut. Cleaned out the entire HN24 in the higher Fin Couloir entrance. Easy trigger."
3/29/22,avalanche canyon,Lat: 43.703423 Lng: -110.795387,2,2.5,,NE,8193,,Skied out avalanche canyon on 3/30 a crossed a sizable pile of wet slide debris (3-400 feet wide) below both of the 11's. Looks to have ran on 3/29. Saw multiple smaller debris piles in the canyon too - many of the lower elevation north facing chutes on 25 short and their aprons seem to have slid
3/29/22,amora vida couloir,Lat: 43.710743 Lng: -110.815643,2,2,,,9837,,Amora Vida couloir had a debris pile at the base and multiple 1-2 foot deep runnels down the bottom half of the couloir.
3/24/22,Above Phelps Lake,Lat: 43.648033 Lng: -110.816132,1,2,10,SE,7823,36-40,"Observed on the morning of March 26. When we skied the debris at 8 am it was becoming isothermal. The snowpack was isothermal in the morning up to 8,500 feet."
3/16/22,Skillet Glacier,Lat: 43.836029 Lng: -110.771431,1,1.5,18,NE,11568,36-40,This slide was observed on the morning of March 17. It looked to have occurred the previous night during the several hour period of strong winds.
3/13/22,Apocalypse Couloir,Lat: 43.655643 Lng: -110.833855,2,1,6,N,9607,41-45,"While ski cutting the upper Apocalypse with a belayed cut from the cave, we triggered a small, slow moving soft slab, approximately 6 inches deep, 30 foot wide, ran 200 feet. We triggered several small soft slabs that were similar in depth and consistency while continuing to ski cut the upper couloir. Further down, at the dogleg we encountered a larger crown across the east facing cirque, approximately 12 inches deep, 100 feet wide, that appeared to have propagated from a smaller ski cut triggered soft slab higher up the couloir. We were surprised by the cumulative volume of soft debris at the apron."
3/11/22,Eagles Rest Peak,Lat: 43.899040 Lng: -110.750351,1,1,8,SE,10413,41-45,Observed a natural wind slab release from a small pocket high on the rocky SE face of the front peak of Eagles Rest. It entrained enough loose snow to gain momentum and run down into the apron where we were standing. Could have been far more serious in more consequential terrain.
3/8/22,Teewinot,Lat: 43.751259 Lng: -110.770424,1,2,15,SE,10326,41-45,This small natural avalanche occurred sometime during the storm from the previous day and was observed on the morning of March 9.
3/2/22,"Hanging Canyon, GTNP",Lat: 43.778454 Lng: -110.749336,1,1.5,12,E,8250,31-35,Appeared as if small rollers from the warm-up triggered the slab and I assume it was wet.
3/2/22,Low southeast facing Saint Johns,Lat: 43.780190 Lng: -110.750359,1,1.5,6,SE,8640,36-40,There were a few small point releases on this face but one of them entrained snow and had a hundred-foot wide debris pile.
2/26/22,Albright,Lat: 43.672901 Lng: -110.812714,2,1,8,NE,9882,36-40,Natural observed on a wind loaded slope below the north ridge of Albright. Appeared to run on facets below the wind slab.
2/21/22,East Face of the Grand Teton,Lat: 43.740452 Lng: -110.801804,2,2.5,36,E,13437,36-40,"<<The crown was observed from Beaver Creek on the afternoon of Feb 22 and the information on the avalanche is estimated. The crown had wide propagation like several hundred feet and extended across most of East Face. On the looker's right side the crown was uniform in depth, and on the left side appeared to be more shallow and disconnected through the rocks. There was a second crown just above the Otter Body that looked to be deeper like four to five feet. The last storm's snowfall amounts favor upper elevations and this large avalanche represents the potential of weak drought layers to fail once a larger load is added. >>"
2/19/22,Spoon Couloir,Lat: 43.731274 Lng: -110.787292,2,1,9,E,10504,41-45,Ski cut a wind slab at the top of the Spoon Couloir that flushed the entire run down to the apron
2/17/22,Teewinot,Lat: 43.746597 Lng: -110.775764,2,2,,E,11209,41-45,Multiple large releases of storm snow from high rocky terrain warming up in the sun. Fast moving slides originating in hanging chutes and snowfields near the summit with 4 foot deep debris piles at the bottom.
1/22/22,"Nez Perce, Sliver Couloir",Lat: 43.719681 Lng: -110.793015,1,1.5,8,E,11059,41-45,"Details of the avalanche are estimated as it was a second-hand report from the rescue party. The report was of three people in the couloir, and the first person to top out began to descend and triggered the avalanche. The lowest climber was caught in the debris and slid to the bottom of the couloir. He sustained significant injuries and was evacuated by helicopter."
1/22/22,Ford Couloir,Lat: 43.740528 Lng: -110.802612,1,1,10,SE,13563,41-45,Event happened at about 11:30 am. Most likely skier triggered as there were groups descending at this time.
1/21/22,North Fork Avalanche Canyon,Lat: 43.707111 Lng: -110.802002,1,1.5,6,NE,8928,36-40,<<New snow slid over old snow interface. Skier was able to ski out of slide to safety. >>
1/12/22,Lower S face 11940,Lat: 43.673687 Lng: -110.842972,2,2,,S,9865,>45,
1/6/22,Olive Oyl,Lat: 43.628311 Lng: -110.834702,2,2.5,51,N,9745,36-40,"<<Observed on Jan 9 but likely occurred closer to Jan 6. Northerly Aspect off the summit of Olive Oyl slid on 50 cm of Facets Dec 5 layer. No melt freeze crust present in a nearby pit we dug. Propagation Saw Test 45 of 160. Debris ran nearly into the gulley from approximately 50 feet shy of the summit, much farther than the pictures show. Crown height 130cm. >>"
1/6/22,Olive Oyl- Low North,Lat: 43.634472 Lng: -110.829803,2,2.5,48,N,8718,36-40,<<This slide is lower on the mountain than the originally reported slide. Observed on Jan.10 from Whimpys. Info estimated.>>
1/6/22,Banana on Prospectors,Lat: 43.647190 Lng: -110.836304,2,2.5,40,SE,9707,36-40,
1/6/22,Maverick,Lat: 43.682892 Lng: -110.778503,2,2,40,NE,8106,36-40,"<<Likely occurred sometime late yesterday. The crown looked to be 3 to 4 feet deep. On a nearby slope with a similar aspect, we found 190cm height of snow and the bottom 50cm was old snow. The old snow was about 20cm of 2 to 3mm facets over meltfreeze crust.>>"
1/6/22,Owen- East Face Low,Lat: 43.744579 Lng: -110.798897,2,2.5,60,E,12220,41-45,<< Observed on Jan 12 so information is estimated.>>
1/6/22,Grand Col,Lat: 43.744671 Lng: -110.787697,3,3,60,SE,11286,36-40,<<Observed on Jan.12 so information is estiamted>>
1/3/22,middle teton,Lat: 43.729870 Lng: -110.810966,3,3,40,E,12726,41-45,Observed from Taggart TH without binoculars or a good camera. I could only see the crown and couldn't estimate size.
1/1/22,NE Wister,Lat: 43.704163 Lng: -110.803146,2,2,24,NE,9674,41-45,Observed a fairly fresh debris pile off the NE Wister path on jan 1 likely ran on dec 31 as the storm subsided.
12/31/21,East ridge mt Wister,Lat: 43.700329 Lng: -110.806229,2,2,24,SE,10372,41-45,Observed from top of ullrs. Ran down to avalanche canyon.
12/30/21,Lower Houdini off N side 25 Short,Lat: 43.703884 Lng: -110.780014,2,2,24,N,8026,36-40,Old debris from a slide that likely ran in the dec 28th to 30th range. Crown depth and date estimated.
12/29/21,Shadow Peak North Facing,Lat: 43.716244 Lng: -110.779465,1,1.5,14,NE,9453,41-45,Releases occurred on hanging cliffs and debris went down slope 200'. No photo. Super bad visibility.
12/29/21,North Couloir Shadow Peak,Lat: 43.716988 Lng: -110.785179,2,2.5,48,NE,10026,41-45,Debris was about 24 hrs old based on very little new snow. Debris was 15-25 feet.
